ip,abuse_score,abuse_reports,country,isp,gn_classification,gn_name
61.230.73.98,16,2,TW,Chunghwa Telecom Data Communication Business Group,unknown,unknown
207.96.149.127,0,0,CA,7350121 Canada Inc.,suspicious,unknown
203.160.163.197,98,80,PH,Philippine Telegraph and Telephone Corporation,suspicious,unknown
20.215.210.222,100,762,PL,Microsoft Corporation,malicious,unknown
52.231.68.47,100,160,KR,Microsoft Corporation,malicious,unknown
141.76.94.28,100,233,DE,Internet measurement research conducted by the Chair of Distributed,malicious,unknown
80.94.95.211,100,5650,RO,UNMANAGED LTD,malicious,unknown
60.168.97.245,33,22,CN,CHINANET anhui province network,suspicious,unknown
3.129.187.38,100,10319,US,Amazon Technologies Inc.,malicious,unknown
103.101.233.18,21,3,IN,Netbeats Infoway Pvt. Ltd.,suspicious,unknown
59.36.162.153,100,262,CN,CHINANET Guangdong province network,malicious,unknown
3.131.220.121,100,8622,US,Amazon Technologies Inc.,malicious,unknown
3.132.26.232,100,6698,US,Amazon Technologies Inc.,malicious,unknown
66.132.195.105,100,1790,US,"Censys, Inc.",benign,Censys
66.132.195.33,100,1937,US,"Censys, Inc.",benign,Censys
18.189.28.87,100,118,US,Amazon Technologies Inc.,unknown,unknown
209.141.9.242,38,16,PH,"RADIUS TELECOMS, INC.",suspicious,unknown
167.71.16.251,9,3,US,"DigitalOcean, LLC",malicious,unknown
180.253.177.215,0,0,ID,PT TELKOM INDONESIA,unknown,unknown
64.62.156.152,100,4726,US,"The Shadowserver Foundation, Inc.",benign,ShadowServer.org
82.140.194.51,0,0,RU,PJSC Rostelecom,unknown,
84.204.143.14,0,1,RU,"Pravdink,50-Oktyabra,1",unknown,unknown
93.118.99.251,100,67,IR,Telecommunication Company of Tehran,malicious,unknown
185.242.3.110,100,206,DE,Felcloud,malicious,unknown
198.235.24.165,0,1974,BE,"Palo Alto Networks, Inc",benign,Cortex Xpanse
20.64.106.222,100,1662,US,Microsoft Corporation,malicious,Stretchoid
40.124.183.177,100,1544,US,Microsoft Corporation,malicious,Stretchoid
44.254.236.97,7,7,US,"Amazon.com, Inc.",benign,BinaryEdge.io
64.62.156.172,100,4838,US,"The Shadowserver Foundation, Inc.",benign,ShadowServer.org
93.174.93.12,100,6202,NL,FiberXpress BV,suspicious,unknown
97.74.230.245,100,447,US,"GoDaddy.com, LLC",malicious,unknown
104.253.48.58,10,3,US,Subnet Digital LLC,malicious,unknown
104.253.90.78,3,1,IT,NetJoin srl,malicious,unknown
135.237.126.127,100,1662,US,Microsoft Limited,malicious,Stretchoid
140.99.201.240,14,7,EE,Internet Utilities NA LLC,malicious,unknown
146.190.211.22,2,1,US,"DigitalOcean, LLC",unknown,unknown
149.57.85.87,13,4,US,"Cogent Communications, LLC",malicious,unknown
159.89.232.74,3,1,US,"DigitalOcean, LLC",unknown,unknown
16.176.125.169,100,719,AU,Amazon Corporate Services Pty Ltd,suspicious,unknown
160.119.71.9,100,144,NL,Cloud Hosting,suspicious,unknown
170.130.204.2,100,431,US,ServerHub Los Angeles,unknown,unknown
171.22.248.214,3,3,FR,HostRoyale Technologies Pvt Ltd,malicious,unknown
18.140.44.23,100,656,SG,Amazon Technologies Inc.,unknown,unknown
180.173.120.74,100,56,CN,CHINANET SHANGHAI PROVINCE NETWORK,suspicious,unknown
183.233.145.75,100,81,CN,China Mobile Communications Corporation,malicious,unknown
184.105.139.68,100,2917,US,"The Shadowserver Foundation, Inc.",benign,ShadowServer.org
185.93.89.154,100,2246,NL,Limited Network LTD,malicious,unknown
187.17.224.139,100,2180,BR,SIM INTERNET PROVEDORES DE INTERNET EIRELI.,suspicious,unknown
190.60.216.206,100,299,CO,IFX NETWORKS COLOMBIA,suspicious,unknown
20.64.104.79,100,1223,US,Microsoft Corporation,malicious,Stretchoid
20.84.153.199,100,1465,US,Microsoft Corporation,malicious,Stretchoid
221.159.119.6,100,2167,KR,Korea Telecom,error:429 Client Error: Too Many Requests for url: https://api.greynoise.io/v3/community/221.159.119.6,
3.125.168.113,100,778,DE,A100 ROW GmbH,error:429 Client Error: Too Many Requests for url: https://api.greynoise.io/v3/community/3.125.168.113,
3.143.162.210,100,5310,US,Amazon Technologies Inc.,error:429 Client Error: Too Many Requests for url: https://api.greynoise.io/v3/community/3.143.162.210,
31.57.41.151,0,0,CA,GOLD IP L.L.C-FZ,error:429 Client Error: Too Many Requests for url: https://api.greynoise.io/v3/community/31.57.41.151,
